Year;Country;Region;Crop_Type;Average_Temperature_C;Total_Precipitation_mm;CO2_Emissions_MT;Crop_Yield_MT_per_HA;Extreme_Weather_Events;Irrigation_Access_%;Pesticide_Use_KG_per_HA;Fertilizer_Use_KG_per_HA;Soil_Health_Index;Adaptation_Strategies;Economic_Impact_Million_USD
2022;China;Central;Sugarcane;-1.35;2627.57;22.16;0.7020000000000001;7;23.95;35.56;79.87;52.82;Water Management;271.51
2014;USA;West;Sugarcane;10.33;814.12;20.05;2.4480000000000004;8;53.84;16.71;66.95;73.45;Drought-resistant Crops;778.99
2022;Australia;New South Wales;Vegetables;-1.59;233.62;4.47;2.2230000000000003;5;56.09;41.29;44.39;32.05;Drought-resistant Crops;906.47
2018;Russia;Central;Cotton;-3.55;1133.72;26.37;0.9720000000000001;1;40.64;9.26;48.98;98.02;Water Management;157.31
2018;Nigeria;North West;Vegetables;17.73;1183.14;14.23;2.36;5;35.83;21.12;41.5;75.51;No Adaptation;716.39
2016;Australia;New South Wales;Rice;24.36;2407.75;29.16;2.538;9;25.59;7.73;74.84;64.75;Crop Rotation;693.64
2024;USA;West;Soybeans;18.69;1341.57;16.33;3.087;1;29.67;20.35;32.31;58.66;Drought-resistant Crops;1317.2
2014;Australia;New South Wales;Wheat;-4.01;2315.25;22.34;1.161;4;95.29;43.75;58.86;85.83;Drought-resistant Crops;422.23
2020;China;East;Vegetables;26.15;437.68;0.9;1.368;2;12.17;5.32;4.53;53.89;Drought-resistant Crops;271.96
2022;USA;West;Rice;14.08;288.85;8.21;1.9800000000000002;5;99.41;25.59;38.84;46.78;Crop Rotation;481.48
2014;Australia;Victoria;Corn;-1.18;2353.82;28.88;1.8900000000000001;7;76.69;5.57;86.19;98.64;Crop Rotation;422.35
2016;Russia;Volga;Sugarcane;-3.19;2964.71;16.59;1.359;1;21.08;38.4;36.49;52.47;No Adaptation;358.93
2016;Russia;Central;Vegetables;30.66;1917.38;26.03;1.6740000000000002;6;29.73;37.05;80.59;75.05;Water Management;583.74
2016;USA;Midwest;Rice;15.61;2082.6;3.65;3.21;5;60.83;17.1;19.14;49.04;Organic Farming;941.63
2020;Nigeria;South West;Coffee;22.42;1163.26;12.51;1.34;5;10.53;3.06;19.44;51.13;Crop Rotation;275.27
2016;USA;West;Rice;11.95;1772.98;11.27;3.66;2;18.71;42.85;29.52;71.04;No Adaptation;490.49
2024;Australia;Western Australia;Corn;30.17;2210.97;8.25;3.15;5;61.37;45.92;46.75;49.25;No Adaptation;877.24
2022;Nigeria;North Central;Sugarcane;-2.56;903.36;23.15;1.9980000000000002;9;51.75;26.19;94.27;70.8;Water Management;459.17
2018;Russia;Northwestern;Vegetables;11.82;1551.71;26.05;3.519;7;28.12;41.19;28.9;39.68;Crop Rotation;631.35
2020;USA;Northeast;Soybeans;26.36;2693.53;28.09;3.177;6;91.78;5.76;32.7;75.53;Organic Farming;1128.61
2016;Nigeria;North Central;Corn;30.46;337.9;28.22;2.943;0;19.31;33.12;56.38;48.14;No Adaptation;1437.65
2024;China;North;Rice;13.38;841.74;3.11;2.56;1;16.27;14.42;75.51;74.88;Drought-resistant Crops;1155.75
2016;Brazil;Southeast;Fruits;0.31;2521.38;29.58;2.7;3;19.14;49.57;11.25;43.73;Drought-resistant Crops;1227.32
2014;Australia;Victoria;Soybeans;-1.62;2667.6;11.41;1.6;2;72.67;36.81;16.67;74.25;Crop Rotation;723.92
2022;Russia;Central;Fruits;22.98;2281.57;8.17;2.97;2;53.67;46.48;74.02;77.59;Crop Rotation;878.28
2024;Australia;Queensland;Wheat;-4.68;300.85;4.89;2.556;6;33.19;24.35;77.09;62.45;No Adaptation;445.53
2024;Australia;Queensland;Sugarcane;9.66;2478.74;22.06;1.359;3;59.56;44.73;37.52;64.65;No Adaptation;573.38
2024;Russia;Central;Barley;24.9;1567.3;13.95;1.63;0;37.43;34.07;34.66;55.3;Water Management;316.27
2024;Brazil;Northeast;Rice;8.62;2489.88;17.56;2.466;8;50.21;17.24;25.25;82.25;Drought-resistant Crops;326.98
2022;China;East;Fruits;15.91;1334.58;3.48;2.15;9;32.59;47.95;91.05;68.55;Organic Farming;953.52
2014;USA;Midwest;Barley;31.41;523.42;4.9;1.99;9;14.07;10.29;10.97;31.29;Water Management;654.9
2024;Russia;Central;Coffee;1.17;1852.82;2.73;1.36;7;58.95;24.97;54.4;81.07;Organic Farming;375.16
2020;Russia;Northwestern;Fruits;32.09;2383.16;24.21;3.4019999999999997;10;91.5;43.31;88.37;40.58;Water Management;407.06
2018;Brazil;Northeast;Corn;-1.94;2844.7;28.02;1.179;8;40.19;43.47;21.27;30.3;Drought-resistant Crops;484.59
2016;Nigeria;North West;Vegetables;3.41;1562.94;22.36;765;9;52.36;44.35;37.91;54.62;No Adaptation;363.84
2024;Brazil;South;Coffee;29.4;787.42;14.1;1.7;3;31.8;41.95;18.31;53.82;Organic Farming;568.43
2020;Brazil;North;Soybeans;25.21;2000.89;13.49;0.96;3;63.15;40.28;53.83;42.02;No Adaptation;248.17
2020;China;South;Soybeans;5.71;1960.41;15.54;2.2230000000000003;10;78.69;8.14;54.53;77.18;Drought-resistant Crops;1067.55
2022;China;South;Fruits;12.34;2369.78;22.02;1.9260000000000002;4;64.46;13.11;24.9;48.92;No Adaptation;323.84
2022;USA;Northeast;Barley;17.82;2902.3;21.15;4.32;10;37.27;2.87;76.45;48.73;Crop Rotation;613.54
2014;Russia;Siberian;Barley;11.72;508.99;13.77;3.32;9;11.97;6.83;23.21;43.49;Water Management;955.4
2014;Nigeria;South West;Corn;20.2;1119.33;7.26;1.97;7;92.48;6.52;56.92;59.84;No Adaptation;276.56
2020;USA;Midwest;Rice;26.6;803.55;2.56;1.68;2;22.53;33.18;99.97;45.34;Water Management;705.83
2018;Nigeria;North West;Fruits;32.07;481.07;4.88;3.3930000000000002;9;63.53;11.68;22.09;90.46;Drought-resistant Crops;1235.14
2024;Brazil;Southeast;Cotton;23.78;2254.27;13.77;2.93;3;41.34;27.61;24.37;62.12;Water Management;585.99
2014;Nigeria;North West;Cotton;5.73;1046.09;28.26;2.502;8;19.24;3.13;32.51;96.6;Water Management;415.12
2018;Australia;Western Australia;Vegetables;19.99;1110.61;0.85;1.69;8;28.88;3.65;70.23;74.21;Water Management;751.5
2018;Russia;Siberian;Rice;7.27;588.9;24.41;1.9980000000000002;5;73.02;43.77;25.42;57.67;Water Management;764.51
2024;Russia;Siberian;Rice;11.79;1737.96;19.32;2.205;2;97.06;4.04;64.53;41.05;No Adaptation;254.71
2014;China;North;Soybeans;14.96;1013.04;6.06;1.55;8;40.52;32.37;72.63;63.06;Water Management;473.36
2014;Russia;Central;Rice;-0.09;749.58;5.01;2.77;2;58.68;41.29;95.73;85.9;Drought-resistant Crops;329.85
2016;Nigeria;South East;Cotton;18.42;520.38;13.35;3.6;10;69.0;19.72;86.17;49.25;Water Management;1757.77
2016;Australia;New South Wales;Fruits;22.05;366.04;16.69;864;2;76.75;11.86;65.74;39.44;Organic Farming;176.84
2016;Brazil;Northeast;Sugarcane;24.78;881.98;28.33;1.827;10;17.8;6.88;18.02;77.17;No Adaptation;296.02
2018;Brazil;Northeast;Cotton;34.52;2629.77;11.69;3.33;0;79.33;27.45;50.11;42.33;Water Management;1511.35
2016;Nigeria;South East;Barley;-1.26;793.7;24.39;1.512;5;23.77;19.22;59.21;65.22;Crop Rotation;596.81
2022;Brazil;North;Soybeans;34.71;2572.78;6.11;1.71;9;21.57;21.88;7.38;47.83;Organic Farming;460.96
2018;China;Central;Barley;32.31;513.33;23.36;2.097;1;34.76;45.94;44.17;69.82;Organic Farming;580.43
2024;China;North;Cotton;5.51;2455.98;19.83;1.143;4;92.75;31.67;45.89;40.27;No Adaptation;531.34
2022;Brazil;Southeast;Cotton;-4.33;2647.66;3.84;1.8;3;14.97;9.37;36.53;66.92;No Adaptation;594.49
2014;USA;Northeast;Corn;7.39;2697.51;8.53;1.31;0;93.55;43.26;95.81;76.76;Drought-resistant Crops;202.3
2016;China;South;Rice;4.31;1241.16;7.66;1.2;7;79.38;35.97;16.56;95.94;Crop Rotation;309.37
2018;Nigeria;North West;Corn;31.35;2452.42;15.02;1.278;9;59.67;35.65;79.37;93.15;Crop Rotation;173.19
2014;China;South;Barley;16.82;1408.99;24.32;2.835;8;45.98;16.75;79.98;83.6;Drought-resistant Crops;1414.25
2022;Russia;Volga;Corn;6.5;1954.63;13.23;0.58;4;23.44;15.32;13.8;38.81;Crop Rotation;282.21
2020;Nigeria;North Central;Soybeans;15.24;2682.21;23.18;3.357;7;72.88;0.93;84.58;37.09;Drought-resistant Crops;1669.18
2022;Nigeria;South East;Rice;4.53;609.33;21.82;1.593;3;66.24;20.27;44.35;71.56;Drought-resistant Crops;657.44
2024;Russia;Volga;Wheat;14.22;752.67;1.73;3.81;1;68.97;7.86;13.89;47.02;Water Management;1290.53
2020;Russia;Central;Corn;11.24;1518.73;4.47;2.43;3;88.55;29.2;44.59;59.61;Crop Rotation;979.8
2014;Australia;New South Wales;Coffee;9.71;1153.52;10.93;1.17;7;74.31;32.23;28.6;88.03;Organic Farming;173.49
2018;China;South;Barley;31.42;769.28;26.79;765;7;40.42;14.42;72.68;47.57;Water Management;264.46
2022;China;North;Corn;31.12;2909.47;28.61;3.285;8;53.95;22.83;63.55;67.98;Drought-resistant Crops;1137.83
2024;Nigeria;North Central;Wheat;10.71;2882.81;7.83;2.06;1;97.4;44.36;19.29;38.13;Drought-resistant Crops;282.86
2016;Australia;Western Australia;Soybeans;12.23;1502.53;6.18;1.7;9;59.67;32.47;28.26;46.82;Drought-resistant Crops;288.58
2014;Nigeria;South West;Barley;3.27;1067.25;9.32;0.53;1;38.68;25.69;27.28;67.78;No Adaptation;138.85
2016;Nigeria;South West;Vegetables;33.67;2160.96;11.2;3.33;3;19.31;7.58;97.34;34.08;Water Management;428.41
2016;USA;Midwest;Wheat;34.18;1201.46;13.53;1.66;9;83.88;16.88;71.84;88.31;Crop Rotation;412.11
2024;Australia;New South Wales;Cotton;25.74;770.2;15.3;1.4580000000000002;2;87.65;35.47;46.23;57.76;Drought-resistant Crops;505.04
2020;USA;South;Corn;23.03;2004.95;24.37;2.3760000000000003;0;32.99;31.27;84.44;37.77;Drought-resistant Crops;626.59
2024;USA;West;Barley;16.71;2045.78;18.39;1.62;6;88.66;41.92;98.39;74.37;No Adaptation;579.38
2020;Nigeria;North West;Sugarcane;-0.06;508.71;26.42;2.7;9;32.45;23.85;24.34;37.47;Water Management;1159.37
2024;USA;South;Coffee;3.68;1213.3;14.49;2.6;7;45.12;23.74;91.84;56.62;No Adaptation;1039.1
2022;Australia;New South Wales;Soybeans;-1.97;2947.47;13.36;2.92;5;91.18;29.29;88.85;84.83;Crop Rotation;1369.27
2014;Australia;New South Wales;Barley;13.96;960.18;10.15;1.64;8;28.57;27.76;91.47;90.96;Organic Farming;345.33
2018;USA;South;Coffee;34.08;1072.15;18.39;1.809;3;69.96;9.02;3.18;94.96;Organic Farming;710.12
2016;China;East;Barley;15.87;1096.44;3.93;2.92;6;56.58;38.25;55.84;82.73;No Adaptation;1459.9
2024;Australia;Victoria;Corn;24.79;730.24;24.35;1.566;1;11.49;47.39;94.54;61.82;Drought-resistant Crops;677.23
2020;USA;South;Barley;5.99;1934.26;24.5;1.6560000000000001;7;64.37;6.28;72.84;99.35;Drought-resistant Crops;700.92
2014;China;East;Barley;2.92;1262.96;1.0;2.18;8;16.89;38.78;50.13;43.56;No Adaptation;750.4
2024;USA;South;Rice;17.96;768.86;28.16;1.35;6;69.46;33.56;57.34;34.4;Drought-resistant Crops;576.13
2018;USA;Midwest;Soybeans;-4.07;2248.57;9.1;2.7;2;59.08;48.82;68.7;91.48;No Adaptation;424.54
2018;China;North;Soybeans;15.52;2360.3;20.06;3.762;1;50.35;27.19;19.41;64.65;Organic Farming;944.24
2016;USA;Midwest;Cotton;0.95;1896.92;27.49;1.845;10;93.17;36.13;76.03;89.5;Crop Rotation;783.87
2020;USA;Northeast;Soybeans;19.5;2897.95;5.55;2.19;7;60.99;41.0;78.76;40.95;Crop Rotation;686.4
2020;USA;Midwest;Wheat;29.42;1357.44;28.11;0.8190000000000001;10;82.21;49.29;31.01;99.01;Crop Rotation;124.19
2016;Russia;Northwestern;Soybeans;22.38;863.1;14.0;1.8;8;24.63;49.45;32.51;74.99;Water Management;521.1
2014;Nigeria;North Central;Corn;-0.54;722.73;1.74;1.69;6;43.89;33.03;15.44;95.4;No Adaptation;447.15
2024;Brazil;Northeast;Barley;32.66;1598.5;8.5;3.99;6;86.6;6.25;20.37;98.36;No Adaptation;1106.25
2016;Nigeria;South East;Rice;10.19;2591.27;14.31;2.78;6;52.47;19.78;24.82;99.69;Crop Rotation;484.14
2014;Brazil;North;Coffee;-3.78;1056.81;20.95;1.809;4;37.88;31.62;53.97;60.24;Organic Farming;197.3
2020;USA;Northeast;Cotton;10.83;1492.96;13.01;2.31;0;77.21;11.57;67.31;52.43;No Adaptation;292.29
2022;Brazil;South;Wheat;23.5;806.4;18.93;3.4739999999999998;6;64.17;15.61;25.55;51.1;Water Management;1697.62
2024;Brazil;Northeast;Cotton;32.6;762.38;12.72;2.55;9;44.18;31.99;41.01;64.71;Organic Farming;1197.89
2018;USA;Midwest;Corn;31.47;2703.79;12.98;1.82;0;82.21;44.89;14.51;70.75;Drought-resistant Crops;729.47
2018;Russia;Northwestern;Coffee;32.16;1188.34;9.59;1.9;5;87.23;31.8;74.99;78.03;Water Management;435.12
2016;Brazil;Northeast;Rice;3.11;1451.52;25.21;2.259;10;22.1;4.28;33.23;36.49;Water Management;629.05
2020;Nigeria;South East;Coffee;15.99;1991.71;5.34;3.54;0;29.08;48.59;5.99;77.74;Drought-resistant Crops;911.59
2020;China;Central;Rice;22.84;2710.4;2.86;1.53;0;15.37;29.39;16.8;81.29;Water Management;512.9
2016;Australia;Queensland;Coffee;32.31;2361.25;9.89;2.1;9;24.37;16.98;12.59;36.05;Drought-resistant Crops;838.09
2016;Brazil;North;Sugarcane;13.2;1582.88;23.73;3.4650000000000003;8;86.71;47.19;95.75;39.36;Organic Farming;1324.25
2024;USA;Northeast;Sugarcane;6.61;292.22;7.87;2.106;9;82.15;7.17;33.16;58.5;Drought-resistant Crops;509.04
2018;USA;South;Cotton;31.92;1194.08;13.28;1.34;9;37.3;42.99;45.4;43.94;No Adaptation;386.65
2016;USA;West;Coffee;16.52;2097.41;25.01;3.294;5;40.41;31.97;31.54;99.74;Organic Farming;1486.03
2024;Australia;Queensland;Barley;20.01;2476.45;15.18;3.582;5;33.86;18.55;38.72;68.24;Organic Farming;1162.63
2020;Brazil;Southeast;Cotton;5.51;2058.61;25.0;0.7110000000000001;10;48.57;27.6;53.46;52.54;No Adaptation;109.81
2014;China;East;Coffee;17.17;2072.76;20.61;2.673;6;65.87;27.1;55.69;77.99;Crop Rotation;632.85
2022;Australia;Victoria;Barley;8.03;1407.38;8.4;1.44;6;54.86;17.01;13.43;90.33;Organic Farming;441.54
2018;Russia;Volga;Corn;-3.66;1499.91;6.09;1.66;4;86.36;21.23;39.1;48.36;Crop Rotation;717.64
2016;Brazil;Southeast;Soybeans;26.98;900.67;20.21;1.035;10;12.23;8.83;4.47;32.43;Crop Rotation;221.73
2022;China;East;Corn;14.74;1814.14;26.66;1.899;5;65.65;12.04;21.18;61.44;Crop Rotation;294.77
2018;USA;West;Rice;14.0;2917.47;21.41;2.9970000000000003;3;54.19;31.21;98.24;94.79;No Adaptation;1039.36
2014;China;Central;Corn;12.76;1616.7;27.32;3.7800000000000002;4;76.44;45.53;36.41;39.14;No Adaptation;767.63
2018;Brazil;South;Wheat;23.69;2844.96;13.31;1.8;7;33.3;32.46;0.42;78.27;No Adaptation;847.74
2016;Brazil;North;Corn;11.53;2450.73;28.87;3.096;9;49.4;41.51;59.8;92.05;Water Management;825.82
2018;USA;West;Cotton;25.49;1635.08;16.4;2.52;8;94.84;45.13;60.27;48.68;Organic Farming;564.88
2018;Russia;Northwestern;Barley;-0.27;1219.24;24.49;891;6;20.19;23.43;29.29;45.66;No Adaptation;193.78
2014;Australia;Victoria;Fruits;14.62;2564.94;15.51;4.401;6;69.67;18.6;67.89;51.72;Water Management;1644.27
2024;Australia;New South Wales;Cotton;14.2;1769.29;9.62;3.29;2;47.52;22.75;45.35;65.09;Water Management;1361.16
2022;Australia;Victoria;Cotton;26.56;2235.11;4.75;1.82;5;18.57;23.24;11.61;76.42;Drought-resistant Crops;857.59
2020;China;East;Coffee;1.24;1055.15;1.75;2.44;0;25.21;38.79;39.26;76.05;Drought-resistant Crops;1175.43
2018;USA;South;Cotton;2.11;544.18;1.21;0.87;2;58.56;34.13;27.82;51.42;No Adaptation;336.26
2022;Nigeria;South East;Rice;11.35;462.35;15.95;1.827;2;93.05;29.11;53.13;51.62;Water Management;711.16
2016;Australia;Victoria;Cotton;4.64;1090.06;20.78;1.539;3;27.96;9.68;72.92;66.12;Water Management;515.74
2018;Australia;Victoria;Barley;28.76;1627.01;1.16;1.52;4;62.58;47.16;70.68;55.12;Organic Farming;248.29
2020;Russia;Central;Coffee;25.7;837.75;17.27;1.521;10;51.54;44.2;42.63;96.55;Water Management;407.12
2022;Brazil;Southeast;Sugarcane;8.21;2373.23;16.33;2.007;7;47.73;41.55;64.46;80.4;Water Management;461.04
2024;China;South;Barley;33.7;1123.66;9.86;2.31;1;75.9;32.86;7.9;63.49;Drought-resistant Crops;623.34
2024;Brazil;Northeast;Corn;34.42;2959.76;24.33;2.9699999999999998;10;90.25;21.5;24.92;70.86;Crop Rotation;1007.71
2022;Nigeria;South East;Wheat;21.14;1692.5;22.37;1.1520000000000001;9;85.77;45.78;3.5;67.67;Organic Farming;162.72
2016;USA;Northeast;Sugarcane;9.42;1291.25;14.94;0.68;3;87.9;42.54;29.18;36.27;Drought-resistant Crops;290.14
2018;Russia;Central;Barley;0.8;1346.1;23.8;1.746;1;70.88;40.13;48.13;87.69;No Adaptation;191.73
2024;USA;Midwest;Rice;8.22;922.9;8.56;0.85;10;69.95;3.81;28.12;92.24;Drought-resistant Crops;117.58
2014;China;North;Cotton;29.27;2820.58;16.4;3.213;4;88.06;39.83;82.32;70.33;Drought-resistant Crops;931.34
2024;China;East;Barley;11.63;1288.65;16.44;3.564;2;37.9;9.61;74.7;98.24;Drought-resistant Crops;1758.91
2014;USA;West;Cotton;31.14;892.55;16.53;891;6;42.05;45.65;25.54;34.95;Water Management;405.41
2024;Russia;Northwestern;Rice;15.32;1493.12;13.05;3.09;2;52.33;10.62;11.22;96.54;No Adaptation;1001.57
2020;Russia;Siberian;Corn;34.17;2531.06;26.1;1.215;1;12.94;20.2;37.42;95.99;Organic Farming;141.17
2022;Australia;Western Australia;Cotton;-3.87;329.5;20.07;1.62;10;75.81;36.23;61.9;69.31;Water Management;178.66
2014;China;Central;Corn;11.08;966.57;29.36;4.338;4;54.26;47.2;65.79;37.02;No Adaptation;859.52
2020;Australia;Victoria;Corn;7.56;2268.91;1.45;1.84;6;47.38;16.9;84.07;39.34;Crop Rotation;441.09
2014;Nigeria;North Central;Cotton;4.13;2683.48;14.62;2.53;4;76.66;11.53;6.85;36.54;No Adaptation;548.17
2016;Nigeria;North West;Wheat;28.1;1426.45;22.61;1.683;4;43.2;29.04;10.45;31.75;Drought-resistant Crops;186.33
2024;Brazil;Southeast;Corn;4.5;537.52;17.65;1.2060000000000002;6;16.38;37.18;97.11;66.35;No Adaptation;171.19
2020;Australia;Victoria;Corn;5.66;1981.4;2.7;1.2;8;55.99;6.11;65.85;85.83;No Adaptation;278.45
2022;Russia;Northwestern;Barley;7.9;715.63;23.37;1.836;2;98.3;36.1;97.33;47.87;No Adaptation;840.56
2014;Russia;Central;Fruits;21.42;2287.81;20.58;3.483;5;22.07;14.76;29.47;52.28;Crop Rotation;1665.5
2024;Nigeria;North West;Cotton;13.73;2776.25;15.4;2.0160000000000005;8;17.36;0.72;57.5;51.27;No Adaptation;825.53
2014;China;East;Soybeans;20.95;1119.46;7.32;1.2;5;24.77;18.89;88.18;43.45;Organic Farming;131.69
2024;Australia;New South Wales;Sugarcane;2.42;2929.42;2.25;0.88;6;76.52;40.6;76.74;86.65;Organic Farming;105.0
2014;Nigeria;North West;Sugarcane;-0.34;1028.61;4.8;2.23;3;32.67;48.32;17.67;59.15;Crop Rotation;818.6
2020;Nigeria;South West;Rice;8.77;1872.09;15.87;1.818;4;26.46;41.05;57.68;48.26;Water Management;342.51
2016;China;South;Barley;33.35;1308.54;23.26;2.1870000000000003;0;76.45;47.88;31.16;47.54;No Adaptation;821.35
2018;Russia;Volga;Barley;20.83;1517.81;11.57;3.4;8;80.48;0.81;13.93;71.66;Organic Farming;1374.21
2014;Brazil;North;Cotton;17.42;933.48;19.46;4.428;7;30.56;4.1;63.63;67.17;Crop Rotation;1058.98
2014;Australia;New South Wales;Cotton;13.58;1118.92;7.33;4.08;5;12.14;28.54;14.76;60.3;Crop Rotation;2024.69
2020;Australia;Western Australia;Vegetables;-1.3;784.23;10.57;0.88;2;90.83;47.14;77.36;51.02;Organic Farming;310.75
2020;Brazil;Southeast;Rice;18.21;2252.3;26.08;3.681;8;73.84;32.1;42.35;39.77;Water Management;1349.83
2014;China;South;Wheat;-1.69;1796.7;16.23;0.63;1;69.63;5.82;37.39;53.53;Crop Rotation;194.64
2016;Nigeria;South West;Soybeans;-3.85;1957.07;4.73;2.87;6;48.6;43.69;8.09;83.51;Organic Farming;795.09
2020;Russia;Siberian;Corn;26.35;1136.99;13.99;2.16;7;60.69;36.6;57.56;31.4;Water Management;756.75
2022;Brazil;North;Vegetables;24.76;585.75;2.53;2.73;10;75.73;30.19;36.78;75.32;Water Management;1283.6
2016;Russia;Siberian;Coffee;31.28;970.51;22.11;1.368;8;82.09;25.93;27.6;61.49;Water Management;354.0
2018;Australia;Victoria;Cotton;15.18;2311.2;4.42;3.68;4;28.18;5.24;74.31;89.5;Crop Rotation;1205.96
2022;Brazil;North;Barley;26.16;251.51;0.83;846;5;22.67;0.79;19.55;99.02;No Adaptation;138.82
2016;USA;Northeast;Wheat;30.65;2429.47;13.27;2.34;2;80.66;12.15;80.88;37.11;No Adaptation;668.92
2024;Nigeria;North Central;Soybeans;32.29;1431.86;4.08;2.59;4;88.97;28.85;56.69;48.13;Crop Rotation;307.27
2016;USA;South;Vegetables;22.39;1830.94;26.71;1.872;0;95.48;11.72;29.66;54.14;Water Management;221.51
2020;Australia;Western Australia;Soybeans;34.14;1744.29;23.44;1.746;1;64.22;1.31;60.84;99.72;Organic Farming;535.39
2014;China;Central;Sugarcane;-4.64;410.23;8.16;1.368;10;58.88;18.74;81.84;64.53;Crop Rotation;444.62
2020;USA;West;Cotton;-4.7;674.67;9.9;0.73;6;31.8;44.12;15.61;65.77;Drought-resistant Crops;335.98
2020;USA;Northeast;Soybeans;-0.71;2758.01;3.56;2.47;5;18.74;6.94;60.18;62.63;Drought-resistant Crops;965.79
2024;USA;Midwest;Coffee;3.65;2675.61;24.05;765;3;68.12;36.67;7.94;78.48;Drought-resistant Crops;222.23
2020;USA;Midwest;Rice;1.08;2911.79;14.69;0.65;1;95.11;30.36;6.07;50.42;Crop Rotation;73.01
2014;Russia;Central;Cotton;19.24;2488.68;27.95;3.222;0;85.85;15.03;95.27;75.57;Organic Farming;582.79
2022;Brazil;Northeast;Sugarcane;18.5;264.17;6.9;3.51;2;46.85;39.86;62.6;76.02;Drought-resistant Crops;943.2
2014;China;Central;Cotton;-1.57;634.28;11.79;1.35;2;46.67;42.58;60.96;32.03;No Adaptation;146.13
2014;Russia;Northwestern;Sugarcane;-0.6;2730.75;5.62;1.61;4;34.14;14.38;25.08;92.52;Crop Rotation;173.06
2014;Australia;New South Wales;Soybeans;-0.61;1272.03;14.87;0.63;10;60.17;17.89;86.48;54.61;Drought-resistant Crops;169.98
2014;Brazil;Northeast;Sugarcane;24.85;1720.87;4.65;3.0;3;61.99;21.38;83.0;98.27;Water Management;353.74
2018;China;North;Cotton;-0.79;1644.3;19.99;783;7;80.97;25.04;54.45;54.71;Organic Farming;248.61
2016;China;Central;Soybeans;-0.17;843.72;27.77;1.494;5;34.32;6.04;80.39;44.38;Drought-resistant Crops;378.75
2018;USA;West;Coffee;21.26;1080.66;11.74;2.64;6;71.96;45.97;88.11;86.35;Crop Rotation;300.39
2018;China;North;Vegetables;11.49;805.63;18.77;3.6270000000000002;6;61.15;43.43;59.06;48.87;No Adaptation;1690.44
2020;Brazil;Northeast;Vegetables;28.22;1925.36;6.93;2.17;9;45.23;7.53;18.85;33.71;Drought-resistant Crops;906.4
2024;Australia;Western Australia;Rice;17.74;2062.84;1.95;3.19;2;61.5;3.14;64.38;55.23;Organic Farming;693.89
2016;China;South;Wheat;3.07;2498.91;2.76;2.92;10;40.08;41.99;64.51;54.41;Water Management;401.3
2024;Australia;New South Wales;Corn;13.12;1562.72;16.31;2.979;3;41.27;16.01;49.72;42.63;No Adaptation;1071.37
2016;China;East;Sugarcane;29.21;684.53;3.86;3.64;5;56.99;16.5;77.41;88.77;Water Management;1616.35
2020;Nigeria;South West;Coffee;-1.61;1505.05;15.02;2.079;1;74.9;0.39;81.05;96.01;No Adaptation;551.74
2020;Brazil;North;Wheat;12.97;1566.53;7.87;4.92;9;96.51;18.89;3.05;31.95;No Adaptation;1649.98
2022;Brazil;South;Coffee;2.46;1323.46;25.0;0.54;1;13.06;34.84;71.43;55.58;No Adaptation;233.12
2018;Nigeria;South West;Sugarcane;11.41;288.77;23.28;3.8789999999999996;2;60.85;22.73;43.26;58.39;Crop Rotation;1847.58
2018;Australia;Queensland;Barley;34.0;2380.89;0.55;3.59;2;90.06;28.01;45.34;31.63;Water Management;451.26
2022;Australia;Western Australia;Fruits;19.62;1252.71;21.99;2.196;0;52.59;0.97;99.53;47.57;Organic Farming;332.06
2018;Nigeria;North Central;Soybeans;2.63;2519.04;2.29;2.89;9;90.94;3.17;37.28;40.91;Water Management;658.99
2020;Nigeria;South East;Soybeans;6.11;2670.8;12.24;2.09;6;16.99;15.02;58.69;48.8;No Adaptation;237.33
2018;China;South;Corn;11.75;1502.98;29.99;2.493;8;10.99;24.73;95.4;50.6;Crop Rotation;1170.71
2024;China;Central;Cotton;31.21;2551.73;9.18;1.03;7;97.21;34.56;7.86;52.47;Organic Farming;287.35
2018;Brazil;Southeast;Barley;19.55;1407.46;23.05;3.6;8;17.87;34.97;38.6;30.8;Drought-resistant Crops;1556.0
2024;China;Central;Corn;19.01;734.68;23.76;3.294;2;54.3;47.1;65.11;47.05;No Adaptation;348.71
2014;Australia;Queensland;Corn;13.77;2193.64;5.46;2.94;10;85.63;42.07;46.25;94.66;Crop Rotation;736.79
2020;China;East;Wheat;5.76;1138.1;19.71;2.142;3;72.62;20.61;25.75;61.16;No Adaptation;816.52
2014;Brazil;Southeast;Fruits;18.02;1842.25;9.74;3.45;3;24.94;16.02;85.03;83.9;Crop Rotation;911.91
2016;Nigeria;South East;Fruits;-1.25;1800.65;16.67;1.0080000000000002;1;43.4;31.55;52.13;86.97;Drought-resistant Crops;498.84
2014;Nigeria;South West;Soybeans;6.77;522.61;27.49;1.4400000000000002;8;65.78;44.55;63.77;74.9;Organic Farming;644.25
2018;Nigeria;South West;Vegetables;29.41;852.88;17.71;2.7720000000000002;8;23.27;43.0;10.41;73.05;Drought-resistant Crops;970.73
2024;USA;West;Corn;-4.21;1771.37;24.77;1.809;9;79.29;35.18;78.08;85.96;No Adaptation;821.52
2022;Australia;Western Australia;Coffee;12.75;410.06;20.39;1.395;1;15.24;14.76;5.3;74.49;Water Management;154.76
2016;Nigeria;North West;Vegetables;7.07;2525.94;23.55;1.764;9;19.3;6.59;96.14;67.95;Water Management;294.06
