climate_change_impact_on_agriculture_2024;;;;;;;;;;
Year;Country;Region;Crop_Type;Average_Temperature_C;Total_Precipitation_mm;CO2_Emissions_MT;Crop_Yield_MT_per_HA;Extreme_Weather_Events;Irrigation_Access_%;Soil_Health_Index
2024;Australia;New South Wales;Cotton;25.74;770.2;15.Mar;14.580.000.000.000.000;2;87.65;57.76
2020;USA;South;Corn;23.Mar;2004.95;24.37;23.760.000.000.000.000;0;32.99;37.77
2024;USA;West;Barley;16.71;2045.78;18.39;Oca.62;6;88.66;74.37
2020;Nigeria;North West;Sugarcane;-0.06;508.71;26.42;2.Tem;9;32.45;37.47
2024;USA;South;Coffee;Mar.68;1213.3;14.49;2.Haz;7;45.12;56.62
2022;Australia;New South Wales;Soybeans;-1.97;2947.47;13.36;Şub.92;5;91.18;84.83
2014;Australia;New South Wales;Barley;13.96;960.18;Eki.15;Oca.64;8;28.57;90.96
2018;USA;South;Coffee;34.08;1072.15;18.39;1.809;3;69.96;94.96
2016;China;East;Barley;15.87;1096.44;Mar.93;Şub.92;6;56.58;82.73
2024;Australia;Victoria;Corn;24.79;730.24;24.35;1.566;1;Kas.49;61.82
2020;USA;South;Barley;May.99;1934.26;24.May;16.560.000.000.000.000;7;64.37;99.35
2014;China;East;Barley;Şub.92;1262.96;1.0;Şub.18;8;16.89;43.56
2024;USA;South;Rice;17.96;768.86;28.16;Oca.35;6;69.46;34.4
2018;USA;Midwest;Soybeans;-4.07;2248.57;9.Oca;2.Tem;2;59.08;91.48
2018;China;North;Soybeans;15.52;2360.3;20.Haz;3.762;1;50.35;64.65
2016;USA;Midwest;Cotton;0.95;1896.92;27.49;1.845;10;93.17;89.5
2020;USA;Northeast;Soybeans;19.May;2897.95;May.55;Şub.19;7;60.99;40.95
2020;USA;Midwest;Wheat;29.42;1357.44;28.Kas;0.8190000000000001;10;82.21;99.01
2016;Russia;Northwestern;Soybeans;22.38;863.1;14.0;1.Ağu;8;24.63;74.99
2014;Nigeria;North Central;Corn;-0.54;722.73;Oca.74;Oca.69;6;43.89;95.4
2024;Brazil;Northeast;Barley;32.66;1598.5;8.May;Mar.99;6;86.6;98.36
2016;Nigeria;South East;Rice;Eki.19;2591.27;14.31;Şub.78;6;52.47;99.69
2014;Brazil;North;Coffee;-3.78;1056.81;20.95;1.809;4;37.88;60.24
2020;USA;Northeast;Cotton;Eki.83;1492.96;13.Oca;Şub.31;0;77.21;52.43
2022;Brazil;South;Wheat;23.May;806.4;18.93;34.739.999.999.999.900;6;64.17;51.1
2024;Brazil;Northeast;Cotton;32.6;762.38;Ara.72;Şub.55;9;44.18;64.71
2018;USA;Midwest;Corn;31.47;2703.79;Ara.98;Oca.82;0;82.21;70.75
2018;Russia;Northwestern;Coffee;32.16;1188.34;Eyl.59;1.Eyl;5;87.23;78.03
2016;Brazil;Northeast;Rice;3.Kas;1451.52;25.21;2.259;10;22.Oca;36.49
2020;Nigeria;South East;Coffee;15.99;1991.71;May.34;Mar.54;0;29.Ağu;77.74
2020;China;Central;Rice;22.84;2710.4;Şub.86;Oca.53;0;15.37;81.29
2016;Australia;Queensland;Coffee;32.31;2361.25;Eyl.89;2.Oca;9;24.37;36.05
2016;Brazil;North;Sugarcane;13.Şub;1582.88;23.73;34.650.000.000.000.000;8;86.71;39.36
2024;USA;Northeast;Sugarcane;Haz.61;292.22;Tem.87;2.106;9;82.15;58.5
2018;USA;South;Cotton;31.92;1194.08;13.28;Oca.34;9;37.3;43.94
2016;USA;West;Coffee;16.52;2097.41;25.Oca;3.294;5;40.41;99.74
2024;Australia;Queensland;Barley;20.Oca;2476.45;15.18;3.582;5;33.86;68.24
2020;Brazil;Southeast;Cotton;May.51;2058.61;25.0;0.7110000000000001;10;48.57;52.54
2014;China;East;Coffee;17.17;2072.76;20.61;2.673;6;65.87;77.99
2022;Australia;Victoria;Barley;8.Mar;1407.38;8.Nis;Oca.44;6;54.86;90.33
2018;Russia;Volga;Corn;-3.66;1499.91;6.Eyl;Oca.66;4;86.36;48.36
2016;Brazil;Southeast;Soybeans;26.98;900.67;20.21;1.035;10;Ara.23;32.43
2022;China;East;Corn;14.74;1814.14;26.66;1.899;5;65.65;61.44
2018;USA;West;Rice;14.0;2917.47;21.41;29.970.000.000.000.000;3;54.19;94.79
2014;China;Central;Corn;Ara.76;1616.7;27.32;37.800.000.000.000.000;4;76.44;39.14
2018;Brazil;South;Wheat;23.69;2844.96;13.31;1.Ağu;7;33.3;78.27
2016;Brazil;North;Corn;Kas.53;2450.73;28.87;3.096;9;49.4;92.05
2018;USA;West;Cotton;25.49;1635.08;16.Nis;Şub.52;8;94.84;48.68
2018;Russia;Northwestern;Barley;-0.27;1219.24;24.49;891;6;20.19;45.66
2014;Australia;Victoria;Fruits;14.62;2564.94;15.51;4.401;6;69.67;51.72
2024;Australia;New South Wales;Cotton;14.Şub;1769.29;Eyl.62;Mar.29;2;47.52;65.09
2022;Australia;Victoria;Cotton;26.56;2235.11;Nis.75;Oca.82;5;18.57;76.42
2020;China;East;Coffee;Oca.24;1055.15;Oca.75;Şub.44;0;25.21;76.05
2018;USA;South;Cotton;2.Kas;544.18;Oca.21;0.87;2;58.56;51.42
2022;Nigeria;South East;Rice;Kas.35;462.35;15.95;1.827;2;93.05;51.62
2016;Australia;Victoria;Cotton;Nis.64;1090.06;20.78;1.539;3;27.96;66.12
2018;Australia;Victoria;Barley;28.76;1627.01;Oca.16;Oca.52;4;62.58;55.12
2020;Russia;Central;Coffee;25.Tem;837.75;17.27;1.521;10;51.54;96.55
2022;Brazil;Southeast;Sugarcane;Ağu.21;2373.23;16.33;2.007;7;47.73;80.4
2024;China;South;Barley;33.7;1123.66;Eyl.86;Şub.31;1;75.9;63.49
2024;Brazil;Northeast;Corn;34.42;2959.76;24.33;29.699.999.999.999.900;10;90.25;70.86
2022;Nigeria;South East;Wheat;21.14;1692.5;22.37;11.520.000.000.000.000;9;85.77;67.67
2016;USA;Northeast;Sugarcane;Eyl.42;1291.25;14.94;0.68;3;87.9;36.27
2018;Russia;Central;Barley;0.8;1346.1;23.Ağu;1.746;1;70.88;87.69
2024;USA;Midwest;Rice;Ağu.22;922.9;Ağu.56;0.85;10;69.95;92.24
2014;China;North;Cotton;29.27;2820.58;16.Nis;3.213;4;88.06;70.33
2024;China;East;Barley;Kas.63;1288.65;16.44;3.564;2;37.9;98.24
2014;USA;West;Cotton;31.14;892.55;16.53;891;6;42.05;34.95
2024;Russia;Northwestern;Rice;15.32;1493.12;13.May;3.Eyl;2;52.33;96.54
2020;Russia;Siberian;Corn;34.17;2531.06;26.Oca;1.215;1;Ara.94;95.99
2022;Australia;Western Australia;Cotton;-3.87;329.5;20.Tem;Oca.62;10;75.81;69.31
2014;China;Central;Corn;11.Ağu;966.57;29.36;4.338;4;54.26;37.02
2020;Australia;Victoria;Corn;Tem.56;2268.91;Oca.45;Oca.84;6;47.38;39.34
2014;Nigeria;North Central;Cotton;Nis.13;2683.48;14.62;Şub.53;4;76.66;36.54
2016;Nigeria;North West;Wheat;28.Oca;1426.45;22.61;1.683;4;43.2;31.75
2024;Brazil;Southeast;Corn;4.May;537.52;17.65;12.060.000.000.000.000;6;16.38;66.35
2020;Australia;Victoria;Corn;May.66;1981.4;2.Tem;1.Şub;8;55.99;85.83
2022;Russia;Northwestern;Barley;7.Eyl;715.63;23.37;1.836;2;98.3;47.87
2014;Russia;Central;Fruits;21.42;2287.81;20.58;3.483;5;22.Tem;52.28
2024;Nigeria;North West;Cotton;13.73;2776.25;15.Nis;20.160.000.000.000.000;8;17.36;51.27
2014;China;East;Soybeans;20.95;1119.46;Tem.32;1.Şub;5;24.77;43.45
2024;Australia;New South Wales;Sugarcane;Şub.42;2929.42;Şub.25;0.88;6;76.52;86.65
2014;Nigeria;North West;Sugarcane;-0.34;1028.61;4.Ağu;Şub.23;3;32.67;59.15
2020;Nigeria;South West;Rice;Ağu.77;1872.09;15.87;1.818;4;26.46;48.26
2016;China;South;Barley;33.35;1308.54;23.26;21.870.000.000.000.000;0;76.45;47.54
2018;Russia;Volga;Barley;20.83;1517.81;Kas.57;3.Nis;8;80.48;71.66
2014;Brazil;North;Cotton;17.42;933.48;19.46;4.428;7;30.56;67.17
2014;Australia;New South Wales;Cotton;13.58;1118.92;Tem.33;4.Ağu;5;Ara.14;60.3
2020;Australia;Western Australia;Vegetables;-1.3;784.23;Eki.57;0.88;2;90.83;51.02
2020;Brazil;Southeast;Rice;18.21;2252.3;26.Ağu;3.681;8;73.84;39.77
2014;China;South;Wheat;-1.69;1796.7;16.23;0.63;1;69.63;53.53
2016;Nigeria;South West;Soybeans;-3.85;1957.07;Nis.73;Şub.87;6;48.6;83.51
2020;Russia;Siberian;Corn;26.35;1136.99;13.99;Şub.16;7;60.69;31.4
2022;Brazil;North;Vegetables;24.76;585.75;Şub.53;Şub.73;10;75.73;75.32
2016;Russia;Siberian;Coffee;31.28;970.51;22.Kas;1.368;8;82.09;61.49
2018;Australia;Victoria;Cotton;15.18;2311.2;Nis.42;Mar.68;4;28.18;89.5
2022;Brazil;North;Barley;26.16;251.51;0.83;846;5;22.67;99.02
2016;USA;Northeast;Wheat;30.65;2429.47;13.27;Şub.34;2;80.66;37.11
2024;Nigeria;North Central;Soybeans;32.29;1431.86;4.Ağu;Şub.59;4;88.97;48.13
2016;USA;South;Vegetables;22.39;1830.94;26.71;1.872;0;95.48;54.14
2020;Australia;Western Australia;Soybeans;34.14;1744.29;23.44;1.746;1;64.22;99.72
2014;China;Central;Sugarcane;-4.64;410.23;Ağu.16;1.368;10;58.88;64.53
2020;USA;West;Cotton;-4.7;674.67;9.Eyl;0.73;6;31.Ağu;65.77
2020;USA;Northeast;Soybeans;-0.71;2758.01;Mar.56;Şub.47;5;18.74;62.63
2024;USA;Midwest;Coffee;Mar.65;2675.61;24.May;765;3;68.12;78.48
2020;USA;Midwest;Rice;1.Ağu;2911.79;14.69;0.65;1;95.11;50.42
2014;Russia;Central;Cotton;19.24;2488.68;27.95;3.222;0;85.85;75.57
2022;Brazil;Northeast;Sugarcane;18.May;264.17;6.Eyl;Mar.51;2;46.85;76.02
2014;China;Central;Cotton;-1.57;634.28;Kas.79;Oca.35;2;46.67;32.03
2014;Russia;Northwestern;Sugarcane;-0.6;2730.75;May.62;Oca.61;4;34.14;92.52
2014;Australia;New South Wales;Soybeans;-0.61;1272.03;14.87;0.63;10;60.17;54.61
2014;Brazil;Northeast;Sugarcane;24.85;1720.87;Nis.65;3.0;3;61.99;98.27
2018;China;North;Cotton;-0.79;1644.3;19.99;783;7;80.97;54.71
2016;China;Central;Soybeans;-0.17;843.72;27.77;1.494;5;34.32;44.38
2018;USA;West;Coffee;21.26;1080.66;Kas.74;Şub.64;6;71.96;86.35
2018;China;North;Vegetables;Kas.49;805.63;18.77;36.270.000.000.000.000;6;61.15;48.87
2020;Brazil;Northeast;Vegetables;28.22;1925.36;Haz.93;Şub.17;9;45.23;33.71
2024;Australia;Western Australia;Rice;17.74;2062.84;Oca.95;Mar.19;2;61.5;55.23
2016;China;South;Wheat;3.Tem;2498.91;Şub.76;Şub.92;10;40.08;54.41
2024;Australia;New South Wales;Corn;13.Ara;1562.72;16.31;2.979;3;41.27;42.63
2016;China;East;Sugarcane;29.21;684.53;Mar.86;Mar.64;5;56.99;88.77
2020;Nigeria;South West;Coffee;-1.61;1505.05;15.Şub;2.079;1;74.9;96.01
2020;Brazil;North;Wheat;Ara.97;1566.53;Tem.87;Nis.92;9;96.51;31.95
2022;Brazil;South;Coffee;Şub.46;1323.46;25.0;0.54;1;13.Haz;55.58
2018;Nigeria;South West;Sugarcane;Kas.41;288.77;23.28;38.789.999.999.999.900;2;60.85;58.39
2018;Australia;Queensland;Barley;34.0;2380.89;0.55;Mar.59;2;90.06;31.63
2022;Australia;Western Australia;Fruits;19.62;1252.71;21.99;2.196;0;52.59;47.57
2018;Nigeria;North Central;Soybeans;Şub.63;2519.04;Şub.29;Şub.89;9;90.94;40.91
2020;Nigeria;South East;Soybeans;6.Kas;2670.8;Ara.24;2.Eyl;6;16.99;48.8
2018;China;South;Corn;Kas.75;1502.98;29.99;2.493;8;Eki.99;50.6
2024;China;Central;Cotton;31.21;2551.73;Eyl.18;1.Mar;7;97.21;52.47
2018;Brazil;Southeast;Barley;19.55;1407.46;23.May;3.Haz;8;17.87;30.Ağu
2024;China;Central;Corn;19.Oca;734.68;23.76;3.294;2;54.3;47.05
2014;Australia;Queensland;Corn;13.77;2193.64;May.46;Şub.94;10;85.63;94.66
2020;China;East;Wheat;May.76;1138.1;19.71;2.142;3;72.62;61.16
2014;Brazil;Southeast;Fruits;18.Şub;1842.25;Eyl.74;Mar.45;3;24.94;83.9
2016;Nigeria;South East;Fruits;-1.25;1800.65;16.67;10.080.000.000.000.000;1;43.4;86.97
2014;Nigeria;South West;Soybeans;Haz.77;522.61;27.49;14.400.000.000.000.000;8;65.78;74.9
2018;Nigeria;South West;Vegetables;29.41;852.88;17.71;27.720.000.000.000.000;8;23.27;73.05
2024;USA;West;Corn;-4.21;1771.37;24.77;1.809;9;79.29;85.96
2022;Australia;Western Australia;Coffee;Ara.75;410.06;20.39;1.395;1;15.24;74.49
2016;Nigeria;North West;Vegetables;7.Tem;2525.94;23.55;1.764;9;19.Mar;67.95
2020;China;East;Corn;28.77;2325.9;Şub.17;Şub.59;6;16.25;84.32
2024;China;South;Sugarcane;Ara.93;2255.76;0.75;1.Ağu;0;93.8;30.82
2014;China;Central;Vegetables;Eki.46;2258.66;18.85;4.239;0;85.9;87.99
2016;Australia;Victoria;Rice;-0.63;654.94;24.22;22.680.000.000.000.000;10;40.06;84.3
2018;USA;West;Corn;-4.23;2567.13;Nis.75;Şub.45;9;87.43;39.06
2022;Australia;Queensland;Barley;-0.92;1116.5;25.Oca;1.503;6;13.0;89.67
2014;China;South;Soybeans;15.72;630.0;17.63;2.763;3;64.95;44.27
2018;USA;West;Barley;-1.16;2451.74;5.Ağu;Şub.82;1;18.96;47.97
2022;Brazil;Southeast;Cotton;20.Ağu;624.62;20.82;846;7;58.5;90.59
2020;China;South;Wheat;29.61;1339.14;Eki.59;Oca.24;10;20.92;78.61
2018;Brazil;Southeast;Wheat;19.28;1523.97;Ağu.97;Nis.51;7;65.26;57.32
2016;Nigeria;South West;Cotton;30.66;454.67;May.56;17.189.999.999.999.900;7;53.88;95.48
2016;USA;Northeast;Corn;19.Ağu;2490.2;18.95;2.979;10;40.17;63.38
2018;USA;Midwest;Coffee;26.25;360.55;29.96;3.231;3;69.05;88.37
2024;Nigeria;South West;Soybeans;Nis.81;1181.35;Tem.45;Oca.47;7;61.16;91.52
2020;Australia;Victoria;Corn;27.35;1548.83;12.Kas;Mar.71;10;34.18;41.5
2024;Nigeria;North Central;Coffee;33.29;270.64;22.62;2.007;0;80.32;34.12
2018;China;North;Barley;32.65;1442.84;23.27;2.178;5;88.35;56.88
2020;Nigeria;South West;Rice;16.Tem;715.09;Eki.96;Mar.76;0;96.32;31.23
2018;Nigeria;North Central;Vegetables;-2.34;2716.87;23.37;1.593;6;22.Eyl;99.04
2016;Brazil;Northeast;Coffee;13.53;567.28;23.93;2.835;8;35.78;94.03
2018;USA;South;Wheat;-3.22;1921.47;21.Haz;0.5760000000000001;1;40.67;96.01
2024;USA;West;Rice;25.67;773.74;29.98;1.125;2;34.77;62.16
2024;Brazil;South;Cotton;25.91;1303.35;1.Nis;Oca.67;3;75.5;70.61
2018;USA;West;Barley;Haz.67;351.15;23.86;1.755;5;64.35;64.28
2014;Russia;Volga;Wheat;-0.7;1678.68;16.83;1.278;3;97.43;69.37
2022;Brazil;Northeast;Wheat;32.12;1338.2;Ara.39;Oca.39;9;47.74;60.86
2018;China;South;Coffee;Tem.51;2227.69;25.Ağu;1.692;0;25.65;98.87
2024;Australia;New South Wales;Coffee;12.Nis;1361.3;22.13;4.221;5;38.46;78.13
2022;Australia;Queensland;Cotton;Haz.18;1628.27;19.25;1.179;1;71.84;95.57
2016;Nigeria;North Central;Wheat;6.May;208.78;14.Eyl;19.800.000.000.000.000;5;92.85;57.32
2018;Brazil;South;Cotton;May.94;475.21;19.22;1.089;9;74.53;88.86
2014;Australia;Queensland;Fruits;14.79;889.31;26.23;44.910.000.000.000.000;5;Eki.31;37.14
2018;China;South;Vegetables;2.Ara;2989.0;Mar.46;Oca.13;4;56.0;55.72
2020;China;South;Wheat;33.11;1377.47;13.Şub;Mar.74;1;23.26;78.3
2018;China;North;Barley;Haz.76;2881.59;28.34;1.413;0;64.35;49.53
2022;Brazil;South;Vegetables;10.Eyl;1740.9;Tem.38;Oca.59;8;78.03;56.1
2016;USA;Northeast;Corn;Tem.41;2444.61;13.23;2.Oca;6;40.81;43.97
2022;Australia;Victoria;Sugarcane;8.Haz;1050.44;Şub.35;0.95;5;50.79;95.06
2022;Russia;Volga;Sugarcane;7.Eyl;232.98;Eki.67;1.917;7;84.53;40.32
2016;China;Central;Vegetables;18.Tem;2879.65;Haz.66;Mar.18;7;22.Oca;66.19
2020;Brazil;Northeast;Soybeans;16.97;661.69;10.Ağu;Şub.68;3;29.33;97.0
2018;China;North;Rice;28.73;1863.52;Şub.35;Mar.26;4;10.Nis;67.6
2016;Nigeria;North Central;Fruits;19.Tem;510.96;28.95;2.718;9;33.78;88.99
2020;Australia;Western Australia;Sugarcane;9.Mar;1251.05;May.38;Oca.63;4;47.47;46.62
2024;Nigeria;North West;Rice;11.Tem;1263.96;29.57;3.618;5;13.68;92.02
2016;USA;South;Sugarcane;0.46;621.5;27.93;675;8;84.35;39.18
2014;Australia;New South Wales;Coffee;20.42;2709.29;May.84;Şub.19;1;82.67;91.78
2022;Russia;Siberian;Sugarcane;Ağu.51;2897.17;24.17;2.421;3;13.16;96.61
2020;Australia;Western Australia;Wheat;Eyl.39;269.13;16.61;2.088;9;87.16;43.76
2014;China;East;Barley;20.73;1235.22;Ara.47;Mar.56;8;28.74;86.0
2022;Russia;Volga;Sugarcane;-1.58;2641.56;20.74;1.845;0;32.23;50.55
2014;Nigeria;North West;Vegetables;32.65;1420.41;15.Mar;1.818;4;31.44;49.31
2020;China;North;Cotton;33.19;1335.03;19.13;33.120.000.000.000.000;2;34.96;38.1
2018;USA;Midwest;Vegetables;3.Mar;1356.09;17.Oca;26.550.000.000.000.000;9;51.09;94.35
2022;Russia;Northwestern;Vegetables;16.34;2368.74;23.65;22.230.000.000.000.000;7;86.53;50.8
2020;China;East;Corn;-0.12;1114.37;19.95;2.682;5;Kas.51;36.1
2014;Australia;New South Wales;Corn;-1.3;453.86;19.89;14.849.999.999.999.900;6;38.75;68.37
2018;Russia;Volga;Wheat;30.57;758.43;15.42;11.700.000.000.000.000;1;60.55;74.46
2022;Australia;Queensland;Barley;22.Eyl;470.23;7.Ağu;2.475;5;95.66;85.5
2020;Brazil;North;Soybeans;30.Kas;1140.49;22.Ağu;2.178;8;43.12;84.94
2018;China;North;Rice;Eki.76;1866.03;15.Kas;4.257.000.000.000.000;9;80.63;59.48
2016;Brazil;Northeast;Wheat;15.29;2946.42;23.95;38.970.000.000.000.000;8;83.43;52.25
2016;Brazil;South;Sugarcane;31.06;1720.53;21.85;3.168;1;50.46;78.14
2022;Australia;Queensland;Coffee;Tem.57;1434.04;14.23;Şub.76;1;81.95;91.99
2022;Russia;Siberian;Rice;21.84;2819.06;May.28;3.Mar;3;20.25;62.54
2016;China;Central;Fruits;29.18;1773.76;28.43;3.213;8;72.87;81.13
2022;Brazil;North;Sugarcane;Eyl.38;2371.32;Eki.87;Oca.18;1;27.28;35.48
2022;Russia;Siberian;Fruits;-0.79;924.79;3.Ara;Şub.98;1;91.21;50.27
2022;Nigeria;South West;Fruits;29.74;2022.06;26.58;10.080.000.000.000.000;9;68.05;44.76
2022;USA;Midwest;Sugarcane;Nis.56;1862.42;19.91;1.323;7;44.88;77.52
2016;Brazil;North;Corn;22.Eyl;1965.91;Mar.65;2.Oca;2;98.95;86.05
2016;China;South;Barley;10.May;2355.44;15.83;22.230.000.000.000.000;5;44.76;78.72
2024;USA;Midwest;Barley;33.91;2338.1;17.98;Oca.62;8;39.33;96.36
2020;USA;South;Corn;4.Haz;2099.06;Haz.35;Şub.35;5;93.8;53.04
2016;Nigeria;South East;Rice;34.19;2793.2;21.63;11.700.000.000.000.000;9;71.29;75.43
2014;China;East;Barley;Ağu.99;964.52;23.Nis;2.619;4;26.Haz;85.82
2020;Australia;Victoria;Cotton;34.1;2337.11;21.93;0.9900000000000001;10;88.27;50.86
2016;Australia;Victoria;Rice;-0.38;838.74;29.14;873;8;74.46;41.75
2014;Russia;Northwestern;Coffee;15.Ara;2665.75;Ağu.19;4.Nis;5;65.94;95.47
2022;Brazil;Southeast;Vegetables;27.33;2339.12;21.89;2.052;8;72.88;72.41
2016;Nigeria;North West;Coffee;30.84;2075.65;Mar.55;Şub.15;0;52.87;78.15
2024;USA;West;Soybeans;-1.57;563.25;Şub.93;Oca.64;2;84.63;88.14
2024;Brazil;Southeast;Corn;Eyl.13;2828.07;28.18;2.259;1;52.18;36.15
2022;Nigeria;South East;Coffee;Kas.49;2156.23;0.89;Mar.41;0;70.38;47.84
2024;Brazil;Southeast;Coffee;Şub.64;1141.42;22.Şub;Şub.61;9;77.38;70.81
2022;Nigeria;South West;Corn;20.May;859.04;Şub.83;Mar.17;9;22.21;45.03
2014;Brazil;Northeast;Sugarcane;-0.51;560.9;13.42;Oca.47;1;42.42;74.15
2018;Brazil;North;Wheat;15.84;2776.81;19.46;Şub.61;4;68.93;85.35
2014;Nigeria;North West;Wheat;30.28;1966.01;8.Şub;0.91;9;82.19;99.02
2022;USA;Northeast;Cotton;33.96;2815.2;26.48;17.369.999.999.999.900;5;Eki.78;34.88
2022;USA;Northeast;Vegetables;Oca.74;2269.11;Eki.92;2.Eyl;10;45.51;60.17
2016;Australia;New South Wales;Rice;Şub.23;248.98;Şub.36;22.769.999.999.999.900;8;54.89;67.94
2014;Nigeria;South East;Wheat;34.32;1617.77;Mar.92;Şub.45;0;53.6;45.96
2024;Nigeria;North Central;Sugarcane;9.May;1127.1;28.92;1.683;1;65.48;90.25
2022;USA;Midwest;Coffee;18.26;2085.71;25.77;2.358;2;14.25;53.87
2014;China;North;Wheat;11.Oca;1382.84;11.Eyl;Nis.27;5;94.46;55.34
2018;China;North;Cotton;30.Eyl;601.55;23.Haz;3.222;1;39.13;46.82
2018;Russia;Volga;Wheat;0.09;2445.31;Nis.62;Şub.92;5;89.43;52.39
2022;Australia;Victoria;Corn;19.79;615.16;Eyl.76;Şub.72;7;92.78;63.97
2014;China;North;Cotton;Eki.57;1691.1;Oca.14;Oca.71;5;97.42;93.38
2024;Russia;Siberian;Cotton;14.89;1049.9;Eyl.83;2.Mar;2;Kas.94;58.36
2014;China;Central;Cotton;22.24;1798.42;Ağu.97;Oca.26;5;52.31;68.76
2018;USA;Northeast;Fruits;25.24;1204.01;23.54;2.061;1;68.73;64.08
2020;Nigeria;North Central;Soybeans;Nis.19;2331.02;Tem.34;Şub.99;7;97.55;72.45
2016;Nigeria;North West;Cotton;Ara.98;2187.21;Ağu.65;3.Eyl;10;54.6;90.75
2020;Nigeria;North West;Sugarcane;23.48;2463.5;Tem.39;Mar.79;2;63.3;93.44
2024;Russia;Volga;Corn;Eki.95;1721.28;23.43;24.480.000.000.000.000;0;14.98;49.43
2018;Brazil;North;Sugarcane;11.Eyl;1825.72;May.54;Oca.69;3;48.17;32.09
2018;Russia;Volga;Wheat;32.29;864.92;0.55;0.85;1;57.39;75.49
2022;Russia;Northwestern;Fruits;30.16;445.03;19.58;846;8;87.9;79.4
2018;Russia;Volga;Wheat;20.Kas;444.7;Nis.74;35.370.000.000.000.000;2;91.04;30.74
2014;Russia;Volga;Vegetables;Kas.22;2294.25;18.85;23.760.000.000.000.000;2;52.43;83.34
2016;Russia;Siberian;Corn;5.Ağu;548.88;19.58;2.331;10;46.61;69.35
2016;Brazil;Southeast;Vegetables;34.54;960.55;Ağu.52;Mar.75;0;63.52;44.74
2020;Nigeria;South East;Coffee;13.Haz;1485.09;12.Nis;Mar.58;9;46.14;68.9
2024;Russia;Central;Vegetables;Şub.61;1225.36;29.97;2.403;9;Kas.92;56.46
2020;China;South;Rice;Oca.86;2781.32;14.89;Oca.35;1;92.69;44.34
2018;USA;Midwest;Coffee;22.94;2170.87;Mar.47;Şub.16;9;69.04;78.25
2016;Nigeria;South West;Rice;13.75;1601.06;28.44;3.159;8;49.59;97.83
2016;Brazil;North;Soybeans;15.57;2294.5;26.55;29.970.000.000.000.000;9;67.06;83.32
2016;Nigeria;South West;Fruits;Mar.72;2094.77;15.15;1.854;0;28.99;48.25
2020;USA;Midwest;Cotton;34.46;2569.18;24.14;1.278;8;65.59;52.94
2016;China;Central;Fruits;14.49;1612.28;15.Tem;1.899;7;15.Eyl;47.66
2024;Russia;Siberian;Coffee;29.46;622.54;24.Haz;3.123;3;13.May;68.21
2016;Australia;New South Wales;Fruits;19.Eyl;2395.8;29.02;4.284;9;32.23;59.9
2014;Brazil;North;Rice;Oca.68;2840.06;16.42;1.845;7;57.57;52.98
2024;China;South;Corn;Ara.21;702.98;22.23;3.447;4;92.34;77.89
2020;China;South;Sugarcane;28.51;263.07;29.May;1.809;6;15.68;97.36
2020;Russia;Volga;Rice;30.16;2526.4;Oca.18;Mar.89;7;23.93;72.99
2016;Australia;Queensland;Barley;Ara.22;1522.18;15.Oca;2.619;5;15.54;93.55
2024;USA;South;Corn;14.43;661.07;Oca.67;Mar.27;0;53.16;30.Oca
2024;Australia;Western Australia;Vegetables;15.Eyl;308.49;21.46;39.960.000.000.000.000;4;39.35;67.03
2020;Russia;Central;Soybeans;16.82;2194.78;28.Mar;4.023;3;33.83;75.04
2020;Brazil;North;Coffee;Eyl.52;1674.62;13.58;Şub.78;4;34.42;56.34
2018;Nigeria;South East;Wheat;Nis.61;454.58;Nis.92;1.845;6;60.52;73.38
2014;Nigeria;South West;Barley;Kas.53;831.6;Haz.16;Şub.15;10;19.16;69.01
2014;Brazil;North;Coffee;Oca.68;1643.44;Nis.25;0.57;1;98.08;71.42
2014;Australia;Queensland;Cotton;15.Tem;2651.99;26.42;4.086;1;Ara.54;87.84
2022;Russia;Northwestern;Wheat;Eyl.27;2693.18;11.Ağu;1.Mar;0;53.81;75.0
2020;USA;South;Sugarcane;14.17;272.87;20.75;2.718;2;31.15;95.27
2022;Russia;Volga;Sugarcane;16.24;2154.34;25.81;3.249;9;17.52;97.0
2024;Australia;Queensland;Sugarcane;Ağu.99;2470.9;Ara.98;0.78;4;70.91;97.97
2020;USA;Midwest;Vegetables;30.24;2682.37;25.69;0.9;5;77.18;93.14
2022;USA;Northeast;Fruits;Eki.75;2797.92;Tem.91;4.Tem;4;31.55;44.84
2020;USA;South;Sugarcane;11.May;2303.03;18.31;19.260.000.000.000.000;0;36.76;30.88
2020;USA;Northeast;Wheat;28.96;1654.13;16.39;1.098;0;90.47;70.68
2022;China;South;Vegetables;34.5;2445.98;19.Tem;1.098;7;22.33;45.82
2014;China;North;Rice;33.2;2140.85;0.89;Şub.86;7;14.14;37.98
2018;Brazil;North;Fruits;31.41;535.79;23.Kas;0.9990000000000001;4;18.33;38.37
2024;USA;South;Sugarcane;5.Nis;2890.51;20.Oca;1.098;8;78.87;79.38
2022;USA;Northeast;Vegetables;32.44;1377.79;25.37;Mar.33;3;72.8;81.7
2022;Nigeria;South West;Rice;Ara.91;1696.77;13.58;Mar.15;8;49.15;70.23
2018;China;South;Vegetables;34.23;2278.45;Ağu.67;Mar.47;1;52.8;60.69
2022;Russia;Northwestern;Corn;Eyl.84;759.76;Kas.18;Şub.78;7;75.94;67.77
2014;USA;South;Wheat;-2.26;575.24;21.95;1.539;0;29.2;69.74
